HE,HR,Darmstadt (hr-Standort),V,ZDF,22
HE,HR,Darmstadt (hr-Standort),V,freenet TV1,31
HE,HR,Darmstadt (hr-Standort),V,freenet TV2,25
HE,HR,Darmstadt (hr-Standort),V,freenet TV3,47
HE,HR,Frankfurt,V,ARD,42
HE,HR,Frankfurt,V,ARD regional,34
HE,HR,Frankfurt,V,ZDF,22
HE,HR,Frankfurt,V,freenet TV1,31
HE,HR,Frankfurt,V,freenet TV2,25
HE,HR,Frankfurt,V,freenet TV3,47
HE,HR,Großer Feldberg,V,ARD,42
HE,HR,Großer Feldberg,V,ARD regional,34
HE,HR,Großer Feldberg,V,ZDF,22
HE,HR,Großer Feldberg,V,freenet TV1,31
HE,HR,Großer Feldberg,V,freenet TV2,25
HE,HR,Großer Feldberg,V,freenet TV3,47
HE,HR,Hohe-Wurzel,V,ARD,42
HE,HR,Hohe-Wurzel,V,ARD regional,34
HE,HR,Hohe-Wurzel,V,ZDF,22
HE,HR,Hohe-Wurzel,V,freenet TV1,31
HE,HR,Hohe-Wurzel,V,freenet TV2,25
HE,HR,Hohe-Wurzel,V,freenet TV3,47
HE,HR,Rimberg,H,ARD,42
HE,HR,Rimberg,H,ARD regional,29
HE,HR,Rimberg,H,ZDF,22
HE,HR,Rimberg,H,freenet TV1
HE,HR,Rimberg,H,freenet TV2
HE,HR,Rimberg,H,freenet TV3
HE,HR,Würzberg,H,ARD,48
HE,HR,Würzberg,H,ARD regional,34
HE,HR,Würzberg,H,ZDF,41
HE,HR,Würzberg,H,freenet TV1
HE,HR,Würzberg,H,freenet TV2
HE,HR,Würzberg,H,freenet TV3
HH,NDR,Hamburg,H,ARD,23
HH,NDR,Hamburg,H,ARD regional,40
HH,NDR,Hamburg,H,ZDF,33
HH,NDR,Hamburg,H,freenet TV1,30
HH,NDR,Hamburg,H,freenet TV2,28
HH,NDR,Hamburg,H,freenet TV3,45
HH,NDR,Hamburg (Höltigbaum),H,ARD,23
HH,NDR,Hamburg (Höltigbaum),H,ARD regional,40
HH,NDR,Hamburg (Höltigbaum),H,ZDF,33
HH,NDR,Hamburg (Höltigbaum),H,freenet TV1,30
HH,NDR,Hamburg (Höltigbaum),H,freenet TV2,28
HH,NDR,Hamburg (Höltigbaum),H,freenet TV3,45
HH,NDR,Hamburg (Moorfleet),H/V,ARD,23
HH,NDR,Hamburg (Moorfleet),H/V,ARD regional,40
HH,NDR,Hamburg (Moorfleet),H/V,ZDF
HH,NDR,Hamburg (Moorfleet),H/V,freenet TV1
HH,NDR,Hamburg (Moorfleet),H/V,freenet TV2
HH,NDR,Hamburg (Moorfleet),H/V,freenet TV3
MV,NDR,Rostock (Toitenwinkel),V,ARD,36
MV,NDR,Rostock (Toitenwinkel),V,ARD regional,29
MV,NDR,Rostock (Toitenwinkel),V,ZDF,46
MV,NDR,Rostock (Toitenwinkel),V,freenet TV1,44
MV,NDR,Rostock (Toitenwinkel),V,freenet TV2,24
MV,NDR,Rostock (Toitenwinkel),V,freenet TV3,26
MV,NDR,Schwerin,H,ARD,36
MV,NDR,Schwerin,H,ARD regional,29
MV,NDR,Schwerin,H,ZDF,46
MV,NDR,Schwerin,H,freenet TV1,44
